응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,레저시간사용목적1순위값,레저시간사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,레저시간휴식오락사용비율,레저시간취미사용비율,레저시간본인계발사용비율,레저시간대인관계교제사용비율,레저시간기타사용비율,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
53361784,20240424,M,60대,대전광역시,300만원 미만,스트레스 해소를 위해,건강 관리를 위해,3,3,60,40,0,0,0,라켓스포츠 직접 하기,볼링_ 당구-포켓볼 직접 하기,캠핑-차박,없음,없음
53361796,20240424,F,40대,충청북도,500이상700만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,2,4,10,40,20,30,0,걷기-속보-조깅 직접 하기,쇼핑,요리-베이킹,드라이브,독서
53361814,20240424,M,40대,강원도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,1,1,40,0,20,40,0,음악-라디오 감상,없음,없음,없음,없음
53361826,20240424,M,60대,제주특별자치도,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,6,6,40,0,10,50,0,종교활동,사회봉사활동,없음,없음,없음
53361899,20240424,M,40대,인천광역시,700만원 이상,자기 계발을 위해,대인 관계-교제를 위해,5,16,20,20,30,30,0,어학-기술-자격증 취득,골프 직접 하기,친구-이성친구 만남,없음,없음
53361968,20240424,F,60대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,4,30,0,0,0,70,영상 컨텐츠 시청,쇼핑,산책-걷기,가족-친지 만남,음악-라디오 감상
53362519,20240424,F,20대,대전광역시,300이상500만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,1,8,50,20,0,30,0,산책-걷기,생활공예-원예,게임,헬스-보디빌딩 직접 하기,가족-친지 만남
53362532,20240424,F,50대,강원도,500이상700만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,3,5,50,0,0,0,50,온천-사우나-찜질방,산책-걷기,친구-이성친구 만남,가족-친지 만남,없음
53362610,20240424,M,20대,부산광역시,무응답,가족-지인 등과 시간을 보내기 위해,없음,5,5,7,80,0,13,0,친구-이성친구 만남,없음,없음,없음,없음
53362810,20240424,F,60대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,1,3,30,0,0,70,0,산책-걷기,수다-잡담하기,종교활동,가족-친지 만남,국내 여행
53362832,20240424,F,30대,대전광역시,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,5,5,90,5,5,0,0,게임,영상 컨텐츠 시청,낮잠자기,없음,없음
53363028,20240424,M,60대,서울특별시,300만원 미만,스트레스 해소를 위해,건강 관리를 위해,3,3,0,70,30,0,0,해외 프로스포츠 영상 시청,산책-걷기,음악-라디오 감상,걷기-속보-조깅 직접 하기,어학-기술-자격증 취득
53363086,20240424,M,50대,충청북도,300이상500만원 미만,자기 계발을 위해,자기만족-즐거움을 위해,4,12,15,10,70,5,0,독서,영상 컨텐츠 시청,기타 자기계발-자기관리,걷기-속보-조깅 직접 하기,산책-걷기
53363161,20240424,M,30대,인천광역시,500이상700만원 미만,자기만족-즐거움을 위해,없음,1,1,100,0,0,0,0,만화책 보기,게임,없음,없음,없음
53363227,20240424,F,50대,경상북도,700만원 이상,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해,2,10,80,0,0,20,0,산책-걷기,낮잠자기,국내 프로스포츠 영상 시청,만화책 보기,쇼핑
53363610,20240424,M,50대,인천광역시,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해,1,1,100,0,0,0,0,영상 컨텐츠 시청,산책-걷기,드라이브,맛집-카페 탐방,쇼핑
53363643,20240424,M,30대,대구광역시,300만원 미만,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해,2,1,50,10,10,30,0,음악 공연 관람,없음,없음,없음,없음
53363692,20240424,F,50대,경상남도,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,2,8,50,40,10,0,0,걷기-속보-조깅 직접 하기,산책-걷기,온천-사우나-찜질방,음주-유흥,영상 컨텐츠 시청
53363716,20240424,F,50대,인천광역시,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,8,80,0,20,0,0,영상 컨텐츠 시청,기타 자기계발-자기관리,쇼핑,산책-걷기,요리-베이킹
53363738,20240424,M,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,3,5,50,20,0,30,0,골프 직접 하기,산책-걷기,골프 영상 시청,계모임-동창회-사교모임,없음
53363815,20240424,F,20대,경기도,무응답,자기만족-즐거움을 위해,자기 계발을 위해,3,5,70,20,10,0,0,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,만화책 보기,헬스-보디빌딩 직접 하기,낮잠자기
53363898,20240424,F,30대,경기도,700만원 이상,자기만족-즐거움을 위해,남는 시간을 보내기 위해,5,8,10,10,60,20,0,독서,산책-걷기,만화책 보기,쇼핑,미용
53363909,20240424,M,60대,강원도,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,1,1,70,0,0,30,0,걷기-속보-조깅 직접 하기,쇼핑,사진 촬영,산책-걷기,영상 컨텐츠 시청
53364008,20240424,F,40대,서울특별시,300만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,4,8,30,10,10,50,0,음주-유흥,영상 컨텐츠 시청,없음,없음,없음
53364189,20240424,F,50대,충청북도,300이상500만원 미만,자기만족-즐거움을 위해,없음,4,10,50,0,0,50,0,음악-라디오 감상,영상 컨텐츠 시청,산책-걷기,미술관-전시관 관람,친구-이성친구 만남
53364197,20240424,M,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,1,4,50,20,30,0,0,걷기-속보-조깅 직접 하기,영화관 관람,산책-걷기,음악-라디오 감상,맛집-카페 탐방
53364516,20240424,M,60대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,1,4,30,40,20,10,0,국내 여행,맛집-카페 탐방,사진 촬영,음악-라디오 감상,산책-걷기
53364688,20240424,M,50대,대구광역시,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,3,30,0,0,70,0,가족-친지 만남,산책-걷기,종교활동,소풍-피크닉,없음
53364855,20240424,F,30대,대전광역시,500이상700만원 미만,남는 시간을 보내기 위해,대인 관계-교제를 위해,3,6,40,20,20,20,0,낮잠자기,맛집-카페 탐방,요가-필라테스 직접 하기,친구-이성친구 만남,쇼핑
53364910,20240424,F,20대,대구광역시,300만원 미만,마음의 안정-휴식을 위해,없음,3,7,90,0,0,10,0,음악 직접 활동 및 수강하기,없음,없음,없음,없음
53365004,20240424,F,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,7,20,10,0,70,0,해외여행,연극-뮤지컬 관람,국내 여행,쇼핑,캠핑-차박
53365060,20240424,M,60대,인천광역시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,2,4,30,30,0,10,30,계모임-동창회-사교모임,등산 직접 하기,음악 공연 관람,해외여행,없음
53365356,20240424,M,60대,경기도,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,12,12,0,40,30,30,0,자전거-싸이클-산악자전거 직접 타기,골프 직접 하기,라켓스포츠 직접 하기,없음,없음
53365697,20240424,F,30대,경상북도,700만원 이상,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,2,8,50,20,0,30,0,영상 컨텐츠 시청,산책-걷기,낮잠자기,해외여행,국내 여행
53365758,20240424,F,60대,충청남도,700만원 이상,건강 관리를 위해,자기만족-즐거움을 위해,1,2,60,10,20,10,0,쇼핑,산책-걷기,영상 컨텐츠 시청,음악-라디오 감상,국내 여행
53366027,20240424,F,40대,경상북도,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,4,8,30,0,20,50,0,친구-이성친구 만남,게임,걷기-속보-조깅 직접 하기,드라이브,사회봉사활동
53366130,20240424,M,30대,울산광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,3,8,50,10,10,30,0,게임,친구-이성친구 만남,어학-기술-자격증 취득,만화책 보기,가족-친지 만남
53366155,20240424,M,60대,충청남도,300이상500만원 미만,자기 계발을 위해,스트레스 해소를 위해,5,10,10,30,30,30,0,음주-유흥,친구-이성친구 만남,가족-친지 만남,SNS -인터넷 커뮤니티 활동,국내 여행
53366284,20240424,F,30대,울산광역시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,8,40,10,10,40,0,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청,가족-친지 만남,산책-걷기,수다-잡담하기
53366292,20240424,M,50대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,2,5,0,100,0,0,0,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
53366395,20240424,M,50대,경기도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,1,4,50,10,0,10,30,산책-걷기,맛집-카페 탐방,국내 여행,영화관 관람,친구-이성친구 만남
53366456,20240424,F,30대,대구광역시,300만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,2,2,90,0,0,10,0,SNS -인터넷 커뮤니티 활동,쇼핑,국내 여행,드라이브,만화책 보기
53366536,20240424,F,50대,충청북도,300만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,2,3,40,20,10,30,0,산책-걷기,등산 직접 하기,종교활동,맛집-카페 탐방,쇼핑
53366816,20240424,M,40대,경기도,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,4,40,30,15,15,0,만화책 보기,낮잠자기,수집,없음,없음
53367047,20240424,F,40대,경상남도,700만원 이상,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,0,6,50,0,0,50,0,쇼핑,영상 컨텐츠 제작,없음,없음,없음
53367209,20240424,F,40대,울산광역시,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,4,50,0,0,0,50,국내 여행,드라이브,맛집-카페 탐방,낮잠자기,없음
53367260,20240424,F,30대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,8,20,50,0,30,0,친구-이성친구 만남,독서,쇼핑,미술관-전시관 관람,산책-걷기
53367444,20240424,F,60대,경상북도,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,1,3,40,10,20,30,0,종교활동,없음,없음,없음,없음
53367749,20240424,M,30대,인천광역시,300만원 미만,남는 시간을 보내기 위해,없음,1,7,100,0,0,0,0,게임,없음,없음,없음,없음
53368022,20240424,F,20대,서울특별시,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해,4,6,80,5,0,15,0,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,수다-잡담하기,없음,없음
53368150,20240424,F,60대,대구광역시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,2,40,0,20,40,0,걷기-속보-조깅 직접 하기,가족-친지 만남,요리-베이킹,친구-이성친구 만남,SNS -인터넷 커뮤니티 활동
53368774,20240424,M,30대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,6,10,50,50,0,0,0,친구-이성친구 만남,없음,없음,없음,없음
53368899,20240424,F,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,5,80,0,0,20,0,SNS -인터넷 커뮤니티 활동,산책-걷기,영상 컨텐츠 시청,없음,없음
53369211,20240424,M,50대,충청남도,300만원 미만,건강 관리를 위해,없음,2,3,30,0,0,70,0,등산 직접 하기,없음,없음,없음,없음
53369236,20240424,M,60대,경상남도,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,5,8,0,0,50,50,0,독서,SNS -인터넷 커뮤니티 활동,온천-사우나-찜질방,사회봉사활동,종교활동
53369269,20240424,M,20대,경상북도,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,4,3,2,5,90,0,e스포츠 영상 시청,수영 직접 하기,해외 프로스포츠 영상 시청,수상레저스포츠 직접 하기,해외여행
53369310,20240424,F,30대,부산광역시,300만원 미만,스트레스 해소를 위해,없음,5,3,80,0,0,20,0,생활공예-원예,없음,없음,없음,없음
53369368,20240424,F,50대,경기도,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,5,6,20,30,20,30,0,국내 여행,쇼핑,걷기-속보-조깅 직접 하기,등산 직접 하기,해외여행
53369490,20240424,F,60대,경기도,무응답,건강 관리를 위해,마음의 안정-휴식을 위해,1,4,50,10,10,30,0,걷기-속보-조깅 직접 하기,없음,없음,없음,없음
53369588,20240424,M,30대,광주광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,4,10,40,20,40,0,0,어학-기술-자격증 취득,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청,없음,없음
53369639,20240424,M,40대,전라북도,300이상500만원 미만,마음의 안정-휴식을 위해,없음,3,5,10,40,10,40,0,기타 스포츠 영상-현장 관람,없음,없음,없음,없음
53369696,20240424,M,50대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,3,15,50,0,20,30,0,게임,가족-친지 만남,요리-베이킹,영화관 관람,국내 여행
53369822,20240424,F,50대,서울특별시,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,2,3,0,40,30,30,0,국내 여행,걷기-속보-조깅 직접 하기,해외여행,드라이브,해외 프로스포츠 영상 시청
53369895,20240424,F,30대,경상북도,300이상500만원 미만,마음의 안정-휴식을 위해,없음,1,3,100,0,0,0,0,영상 컨텐츠 시청,없음,없음,없음,없음
53370217,20240424,F,50대,경상남도,300이상500만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,12,10,80,0,0,20,0,음악-라디오 감상,걷기-속보-조깅 직접 하기,계모임-동창회-사교모임,없음,없음
53370308,20240424,F,20대,부산광역시,500이상700만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해,3,8,10,0,30,60,0,영상 컨텐츠 시청,요가-필라테스 직접 하기,게임,없음,없음
53370321,20240424,M,40대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,6,30,50,20,0,0,음악-라디오 감상,게임,사진 촬영,캠핑-차박,드라이브
53370405,20240424,F,30대,충청북도,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,5,70,0,30,0,0,영상 컨텐츠 시청,게임,영화관 관람,음악 공연 관람,반려동물 돌보기
53370451,20240424,F,50대,경기도,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,3,3,30,30,30,10,0,걷기-속보-조깅 직접 하기,등산 직접 하기,쇼핑,없음,없음
53370486,20240424,M,20대,충청남도,무응답,자기만족-즐거움을 위해,자기 계발을 위해,4,14,10,20,60,10,0,어학-기술-자격증 취득,게임,줄넘기-맨손체조-스트레칭 직접 하기,친구-이성친구 만남,수다-잡담하기
53370508,20240424,M,30대,경기도,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,2,5,20,20,40,20,0,박물관 관람,해외 프로스포츠 영상 시청,수상레저스포츠 직접 하기,가족-친지 만남,소풍-피크닉
53370526,20240424,F,40대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,1,2,10,10,70,10,0,독서,보드게임-퍼즐-바둑-장기-체스 등,소풍-피크닉,국내 여행,라켓스포츠 직접 하기
