연령계층별,시점,인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%]
15세 이상 전체,2005.12 월,38330.5,23516.8,22684.6,832.2,14813.7,61.4,3.5,59.2
15세 이상 전체,2006.01 월,38380.6,23346.6,22469.8,876.8,15034,60.8,3.8,58.5
15세 이상 전체,2006.02 월,38423.9,23373.6,22413,960.6,15050.3,60.8,4.1,58.3
15세 이상 전체,2006.03 월,38464.4,23783.4,22852.1,931.3,14681,61.8,3.9,59.4
15세 이상 전체,2006.04 월,38512,24098.1,23247.3,850.8,14413.9,62.6,3.5,60.4
15세 이상 전체,2006.05 월,38561.8,24285.7,23496.5,789.2,14276.2,63,3.2,60.9
15세 이상 전체,2006.06 월,38612.4,24343.2,23520.3,822.9,14269.2,63,3.4,60.9
15세 이상 전체,2006.07 월,38660.8,24309.7,23475.9,833.9,14351.1,62.9,3.4,60.7
15세 이상 전체,2006.08 월,38709.3,24027.1,23211.4,815.7,14682.2,62.1,3.4,60
15세 이상 전체,2006.09 월,38750.9,24168.4,23391.6,776.8,14582.5,62.4,3.2,60.4
15세 이상 전체,2006.10 월,38796.6,24337.9,23536.9,801.1,14458.6,62.7,3.3,60.7
15세 이상 전체,2006.11 월,38833.7,24323.1,23546.6,776.5,14510.6,62.6,3.2,60.6
15세 이상 전체,2006.12 월,38874.1,23888.4,23095.4,793.1,14985.7,61.5,3.3,59.4
15세 이상 전체,2007.01 월,38924.6,23709.3,22846.2,863.1,15215.3,60.9,3.6,58.7
15세 이상 전체,2007.02 월,38964.9,23659.8,22790.5,869.3,15305.1,60.7,3.7,58.5
15세 이상 전체,2007.03 월,39006.8,24082.4,23235.4,847,14924.5,61.7,3.5,59.6
15세 이상 전체,2007.04 월,39049,24453.7,23629.4,824.3,14595.3,62.6,3.4,60.5
15세 이상 전체,2007.05 월,39098.6,24648.4,23862.9,785.5,14450.3,63,3.2,61
15세 이상 전체,2007.06 월,39149.4,24701.9,23919.7,782.2,14447.5,63.1,3.2,61.1
15세 이상 전체,2007.07 월,39197.1,24667.4,23865.3,802,14529.8,62.9,3.3,60.9
15세 이상 전체,2007.08 월,39248.7,24347,23581.5,765.4,14901.7,62,3.1,60.1
15세 이상 전체,2007.09 월,39300.2,24487.1,23759.1,728,14813.1,62.3,3,60.5
15세 이상 전체,2007.10 월,39356.3,24642.8,23904.6,738.2,14713.5,62.6,3,60.7
15세 이상 전체,2007.11 월,39406.2,24643.4,23906.5,736.8,14762.9,62.5,3,60.7
15세 이상 전체,2007.12 월,39456.2,24173.3,23432.2,741,15282.9,61.3,3.1,59.4
15세 이상 전체,2008.01 월,39513.8,23920.9,23141.2,779.7,15592.8,60.5,3.3,58.6
15세 이상 전체,2008.02 월,39563.6,23893.5,23064.7,828.8,15670.1,60.4,3.5,58.3
15세 이상 전체,2008.03 월,39611.3,24308.9,23490,818.9,15302.3,61.4,3.4,59.3
15세 이상 전체,2008.04 월,39659.4,24698.8,23907.4,791.4,14960.6,62.3,3.2,60.3
15세 이상 전체,2008.05 월,39708.7,24904.8,24143.8,761,14803.8,62.7,3.1,60.8
15세 이상 전체,2008.06 월,39759.3,24944.1,24174.4,769.7,14815.2,62.7,3.1,60.8
15세 이상 전체,2008.07 월,39810.7,24886.7,24114.3,772.4,14924,62.5,3.1,60.6
15세 이상 전체,2008.08 월,39852.3,24593.3,23824.5,768.7,15259,61.7,3.1,59.8
15세 이상 전체,2008.09 월,39893.1,24664.5,23935.6,728.9,15228.6,61.8,3,60
15세 이상 전체,2008.10 월,39933,24787.3,24044.7,742.5,15145.7,62.1,3,60.2
15세 이상 전체,2008.11 월,39978.5,24771.5,24016.5,755,15207.1,62,3,60.1
15세 이상 전체,2008.12 월,40021.3,24233.3,23440.7,792.5,15788.1,60.6,3.3,58.6
15세 이상 전체,2009.01 월,40085,23907.4,23051.1,856.2,16177.6,59.6,3.6,57.5
15세 이상 전체,2009.02 월,40121.9,23862.5,22929.6,932.9,16259.4,59.5,3.9,57.1
15세 이상 전체,2009.03 월,40157.3,24255.7,23295.1,960.6,15901.6,60.4,4,58
15세 이상 전체,2009.04 월,40194.8,24649,23709.8,939.2,15545.9,61.3,3.8,59
15세 이상 전체,2009.05 월,40237.6,24846.8,23904,942.8,15390.8,61.8,3.8,59.4
15세 이상 전체,2009.06 월,40279.8,25114.2,24148.4,965.8,15165.5,62.3,3.8,60
15세 이상 전체,2009.07 월,40323.9,24938.4,24006.3,932.1,15385.5,61.8,3.7,59.5
15세 이상 전체,2009.08 월,40367.4,24703.8,23797.1,906.6,15663.7,61.2,3.7,59
15세 이상 전체,2009.09 월,40403.9,24811.1,23982.5,828.6,15592.8,61.4,3.3,59.4
15세 이상 전체,2009.10 월,40441.3,24842,24038.3,803.7,15599.3,61.4,3.2,59.4
15세 이상 전체,2009.11 월,40481.7,24806.9,23982.8,824.2,15674.8,61.3,3.3,59.2
15세 이상 전체,2009.12 월,40520.5,24244.5,23406.3,838.2,16276,59.8,3.5,57.8
15세 이상 전체,2010.01 월,40594.6,24258.3,23040.7,1217.6,16336.3,59.8,5,56.8
15세 이상 전체,2010.02 월,40630.2,24217,23047.4,1169.6,16413.2,59.6,4.8,56.7
15세 이상 전체,2010.03 월,40667.3,24567.1,23559.9,1007.2,16100.2,60.4,4.1,57.9
